"","dahuk","ninewa"
"1",0.03125,0
"2",0.03125,0
"3",0.03125,0
"4",0.03125,0
"5",0.03125,0
"6",0,0.5
"7",0.03125,0
"8",0.03125,0
"9",0.03125,0
"10",0.03125,0
"11",0.03125,0
"12",0.03125,0
"13",0.03125,0
"14",0,0.5
"15",0.03125,0
"16",0.03125,0
"17",0.03125,0
"18",0.03125,0
"19",0.03125,0
"20",0.03125,0
"21",0.03125,0
"22",0.03125,0
"23",0.03125,0
"24",0.03125,0
"25",0.03125,0
"26",0.03125,0
"27",0.03125,0
"28",0.03125,0
"29",0.03125,0
"30",0.03125,0
"31",0.03125,0
"32",0.03125,0
"33",0.03125,0
"34",0.03125,0
