"","dahuk","ninewa"
"18",0.03125,0
"20",0.03125,0
"22",0.03125,0
"23",0.03125,0
"25",0.03125,0
"26",0.03125,0
"27",0.0625,0
"28",0.03125,0.5
"29",0.0625,0
"30",0.0625,0
"31",0.0625,0
"36",0.03125,0
"37",0.03125,0
"38",0.03125,0
"39",0.03125,0
"40",0.0625,0
"41",0.03125,0
"42",0.0625,0
"46",0.03125,0
"53",0.03125,0
"60",0.03125,0
"65",0.03125,0
"N/A",0.125,0.5
