"","dahuk","ninewa"
"2074090",0.03125,0
"2074095",0.03125,0
"2074096",0.03125,0
"2074097",0.03125,0
"2074098",0.03125,0
"2074099",0,0.5
"2074100",0.03125,0
"2074101",0.03125,0
"2074102",0.03125,0
"2074103",0.03125,0
"2074104",0.03125,0
"2074105",0.03125,0
"2074106",0.03125,0
"2074107",0,0.5
"2074108",0.03125,0
"2074109",0.03125,0
"2074110",0.03125,0
"2074111",0.03125,0
"2074113",0.03125,0
"2074114",0.03125,0
"2074115",0.03125,0
"2074116",0.03125,0
"2074117",0.03125,0
"2074118",0.03125,0
"2074119",0.03125,0
"2074120",0.03125,0
"2074121",0.03125,0
"2074122",0.03125,0
"2074123",0.03125,0
"2074124",0.03125,0
"2074125",0.03125,0
"2074126",0.03125,0
"2074127",0.03125,0
"2074128",0.03125,0
