"","dahuk","ninewa"
"block_building",0.03125,0
"collective_centre",0.03125,0
"collective_house",0.09375,0
"garage",0.03125,0
"hosted_relatives",0.03125,0
"independent_house",0.65625,0.5
"N/A",0.125,0.5
