"","dahuk","ninewa"
"0",0.09375,0
"108000",0.03125,0
"158000",0.03125,0
"168000",0.03125,0
"188000",0.03125,0
"198000",0.03125,0
"200000",0.03125,0
"218000",0.03125,0
"268000",0.125,0
"278000",0.03125,0
"318000",0.0625,0
"333000",0.03125,0
"360000",0.03125,0
"42000",0.03125,0
"468000",0.25,0.5
"N/A",0.125,0.5
