"","dahuk","ninewa"
"carpet_rug",0.03125,0
"kerosene stove_heater",0.03125,0
"N/A",0.125,0.5
"none",0.5,0
"stove_heater shelter_maintenance",0.03125,0
"winter_clothing kerosene",0.09375,0
"winter_clothing kerosene carpet_rug",0.03125,0
"winter_clothing kerosene carpet_rug shelter_maintenance",0.03125,0
"winter_clothing kerosene stove_heater",0.0625,0
"winter_clothing kerosene stove_heater carpet_rug",0,0.5
"winter_clothing stove_heater carpet_rug",0.0625,0
