"","host_community"
"2018-05-02T11:20:08.542+01",0.00416666666666667
"2018-05-02T11:40:29.308+01",0.00416666666666667
"2018-05-02T11:51:32.473+01",0.00416666666666667
"2018-05-02T12:10:23.708+03",0.00416666666666667
"2018-05-02T13:03:15.749+01",0.00416666666666667
"2018-05-02T14:17:58.485+01",0.00416666666666667
"2018-05-02T14:29:46.312+03",0.00416666666666667
"2018-05-02T15:10:08.773+01",0.00416666666666667
"2018-05-02T15:14:22.527+01",0.00416666666666667
"2018-05-02T15:54:05.377+03",0.00416666666666667
"2018-05-02T15:58:06.104+01",0.00416666666666667
"2018-05-02T15:58:29.144+01",0.00416666666666667
"2018-05-02T16:20:04.244+03",0.00416666666666667
"2018-05-02T16:47:55.706+01",0.00416666666666667
"2018-05-02T18:33:55.124+03",0.00416666666666667
"2018-05-02T18:56:21.209+01",0.00416666666666667
"2018-05-02T18:57:08.343+01",0.00416666666666667
"2018-05-02T18:57:36.661+01",0.00416666666666667
"2018-05-02T19:04:37.901+03",0.00416666666666667
"2018-05-02T19:22:40.345+03",0.00416666666666667
"2018-05-02T19:43:12.811+01",0.00416666666666667
"2018-05-02T19:44:35.060+01",0.00416666666666667
"2018-05-02T20:04:38.344+03",0.00416666666666667
"2018-05-02T20:23:34.244+03",0.00416666666666667
"2018-05-04T12:16:58.349+01",0.00416666666666667
"2018-05-04T12:34:42.753+01",0.00416666666666667
"2018-05-04T12:35:30.250+03",0.00416666666666667
"2018-05-04T12:35:49.150+01",0.00416666666666667
"2018-05-04T12:52:10.606+01",0.00416666666666667
"2018-05-04T12:52:14.074+03",0.00416666666666667
"2018-05-04T13:20:25.018+01",0.00416666666666667
"2018-05-04T13:40:23.633+01",0.00416666666666667
"2018-05-04T13:48:23.993+01",0.00416666666666667
"2018-05-04T13:57:22.220+01",0.00416666666666667
"2018-05-04T14:13:57.815+03",0.00416666666666667
"2018-05-04T14:19:41.413+01",0.00416666666666667
"2018-05-04T14:25:03.959+03",0.00416666666666667
"2018-05-04T14:28:30.272+03",0.00416666666666667
"2018-05-04T14:38:33.222+03",0.00416666666666667
"2018-05-04T14:44:57.510+01",0.00416666666666667
"2018-05-04T15:03:34.528+01",0.00416666666666667
