"","host_community"
"",0.5375
"1_year",0.0458333333333333
"3_months",0.0208333333333333
"6_months",0.025
"more_than_1_year",0.0833333333333333
"never",0.279166666666667
"no_answer",0.00416666666666667
"one_month",0.00416666666666667
