"","host_community"
"0",0.1
"1",0.170833333333333
"2",0.2125
"3",0.229166666666667
"4",0.0958333333333333
"5",0.0916666666666667
"6",0.0541666666666667
"7",0.0208333333333333
"8",0.00833333333333333
"9",0.00833333333333333
"10",0.00416666666666667
"14",0.00416666666666667
