"","female","male"
"2018-05-07T11:55:35.792+03",0.00925925925925926,0
"2018-05-07T12:18:14.665+01",0.00925925925925926,0
"2018-05-07T12:24:41.479+01",0.00925925925925926,0
"2018-05-07T12:46:47.238+03",0.00925925925925926,0
"2018-05-07T12:52:28.856+01",0.00925925925925926,0
"2018-05-07T12:55:45.870+03",0,0.00757575757575758
"2018-05-07T12:59:41.224+03",0.00925925925925926,0
"2018-05-07T13:10:01.295+01",0,0.00757575757575758
"2018-05-07T13:14:50.515+01",0.00925925925925926,0
"2018-05-07T13:15:16.020+03",0,0.00757575757575758
"2018-05-07T13:23:22.319+01",0.00925925925925926,0
"2018-05-07T13:31:28.994+01",0,0.00757575757575758
"2018-05-07T13:39:20.036+03",0,0.00757575757575758
"2018-05-07T14:20:15.635+03",0.00925925925925926,0
"2018-05-07T14:28:58.822+01",0,0.00757575757575758
"2018-05-07T14:43:20.930+01",0,0.00757575757575758
"2018-05-07T14:48:38.483+03",0,0.00757575757575758
"2018-05-07T14:54:05.126+01",0.00925925925925926,0
"2018-05-08T09:22:03.454+01",0,0.00757575757575758
"2018-05-08T09:27:46.281+01",0.00925925925925926,0
"2018-05-08T09:44:25.339+03",0,0.00757575757575758
"2018-05-08T09:52:25.385+03",0,0.00757575757575758
"2018-05-08T10:11:16.866+01",0,0.00757575757575758
"2018-05-08T10:16:55.301+01",0,0.00757575757575758
"2018-05-08T10:55:56.649+01",0,0.00757575757575758
"2018-05-08T11:13:15.763+01",0,0.00757575757575758
"2018-05-08T12:18:13.829+03",0.00925925925925926,0
"2018-05-08T12:35:58.502+01",0.00925925925925926,0
"2018-05-08T12:42:10.278+03",0,0.00757575757575758
"2018-05-08T12:42:32.481+01",0.00925925925925926,0
"2018-05-08T12:44:09.648+01",0.00925925925925926,0
"2018-05-08T12:55:57.587+03",0,0.00757575757575758
"2018-05-08T13:49:05.486+03",0.00925925925925926,0
"2018-05-08T13:56:15.539+03",0,0.00757575757575758
"2018-05-08T14:02:03.150+01",0.00925925925925926,0
"2018-05-08T14:02:55.408+01",0,0.00757575757575758
"2018-05-08T14:13:00.054+01",0,0.00757575757575758
"2018-05-08T14:17:11.041+01",0.00925925925925926,0
"2018-05-08T14:17:57.102+01",0,0.00757575757575758
"2018-05-08T14:24:00.276+03",0,0.00757575757575758
"2018-05-08T14:55:54.346+01",0.00925925925925926,0
"2018-05-08T14:58:00.842+01",0.00925925925925926,0
"2018-05-08T15:29:57.579+01",0.00925925925925926,0
"2018-05-08T15:40:02.604+01",0.00925925925925926,0
"2018-05-08T15:47:00.381+03",0.00925925925925926,0
"2018-05-08T15:53:16.706+01",0.00925925925925926,0
"2018-05-08T16:43:29.638+01",0,0.00757575757575758
"2018-05-09T09:48:17.760+01",0,0.00757575757575758
"2018-05-09T09:53:01.601+01",0.00925925925925926,0
"2018-05-09T10:43:09.062+01",0,0.00757575757575758
"2018-05-09T11:26:19.254+01",0.00925925925925926,0
"2018-05-09T12:05:25.092+01",0,0.00757575757575758
"2018-05-09T12:05:43.024+01",0.00925925925925926,0
"2018-05-09T12:06:40.126+03",0.00925925925925926,0
"2018-05-09T12:08:19.638+01",0.00925925925925926,0
"2018-05-09T12:18:55.647+01",0,0.00757575757575758
"2018-05-09T12:25:04.676+01",0,0.00757575757575758
"2018-05-09T12:28:10.005+03",0,0.00757575757575758
"2018-05-09T12:41:36.625+01",0.00925925925925926,0
"2018-05-09T12:45:13.799+03",0,0.00757575757575758
"2018-05-09T13:17:20.672+01",0,0.00757575757575758
"2018-05-09T13:19:52.835+03",0,0.00757575757575758
"2018-05-09T13:25:18.512+01",0.00925925925925926,0
"2018-05-09T13:30:59.757+01",0,0.00757575757575758
"2018-05-09T13:38:22.747+01",0.00925925925925926,0
"2018-05-09T13:46:56.128+01",0.00925925925925926,0
"2018-05-09T13:58:53.713+03",0,0.00757575757575758
"2018-05-09T14:07:40.662+01",0.00925925925925926,0
"2018-05-09T14:15:08.051+03",0.00925925925925926,0
"2018-05-09T14:17:21.744+01",0,0.00757575757575758
"2018-05-09T14:17:37.338+03",0,0.00757575757575758
"2018-05-09T14:26:02.026+01",0,0.00757575757575758
"2018-05-09T14:43:50.940+01",0.00925925925925926,0
"2018-05-09T14:44:36.850+01",0,0.00757575757575758
"2018-05-09T15:11:01.961+01",0.00925925925925926,0
"2018-05-09T15:15:05.536+01",0,0.00757575757575758
"2018-05-09T15:18:50.038+03",0,0.00757575757575758
"2018-05-09T15:21:28.011+03",0,0.00757575757575758
"2018-05-10T09:06:31.563+01",0,0.00757575757575758
"2018-05-10T09:35:13.843+03",0.00925925925925926,0
"2018-05-10T10:18:53.365+01",0,0.00757575757575758
"2018-05-10T10:39:02.437+01",0,0.00757575757575758
"2018-05-10T10:42:01.436+01",0,0.00757575757575758
"2018-05-10T11:19:31.303+01",0.00925925925925926,0
"2018-05-10T11:22:05.403+01",0.00925925925925926,0
"2018-05-10T11:40:53.265+03",0,0.00757575757575758
"2018-05-10T11:49:11.463+01",0,0.00757575757575758
"2018-05-10T12:21:36.564+01",0,0.00757575757575758
"2018-05-10T12:25:44.523+03",0,0.00757575757575758
"2018-05-10T12:27:48.507+03",0.00925925925925926,0
"2018-05-10T12:27:56.549+01",0,0.00757575757575758
"2018-05-10T12:30:25.508+01",0.00925925925925926,0
"2018-05-10T12:51:16.576+01",0,0.00757575757575758
"2018-05-10T13:00:56.506+01",0.00925925925925926,0
"2018-05-10T13:01:59.011+01",0.00925925925925926,0
"2018-05-10T13:23:05.922+01",0,0.00757575757575758
"2018-05-10T13:25:27.111+01",0.00925925925925926,0
"2018-05-10T13:35:25.490+03",0,0.00757575757575758
"2018-05-10T13:42:02.460+03",0,0.00757575757575758
"2018-05-10T13:50:08.136+03",0,0.00757575757575758
"2018-05-10T13:59:44.679+01",0,0.00757575757575758
"2018-05-10T14:03:53.056+01",0,0.00757575757575758
"2018-05-10T14:16:02.682+01",0,0.00757575757575758
"2018-05-10T14:22:11.679+01",0,0.00757575757575758
"2018-05-10T14:27:54.390+03",0,0.00757575757575758
"2018-05-10T14:41:17.253+01",0,0.00757575757575758
"2018-05-10T15:07:42.910+01",0.00925925925925926,0
"2018-05-10T15:15:33.914+03",0.00925925925925926,0
"2018-05-10T15:32:25.901+01",0,0.00757575757575758
"2018-05-10T15:34:17.501+03",0.00925925925925926,0
"2018-05-10T15:35:12.856+01",0.00925925925925926,0
"2018-05-10T15:36:29.538+01",0.00925925925925926,0
"2018-05-10T15:45:54.502+01",0.00925925925925926,0
"2018-05-10T15:56:57.502+01",0,0.00757575757575758
"2018-05-11T08:56:56.182+03",0,0.00757575757575758
"2018-05-11T09:05:30.972+01",0,0.00757575757575758
"2018-05-11T09:06:53.395+01",0,0.00757575757575758
"2018-05-11T09:24:41.902+03",0,0.00757575757575758
"2018-05-11T10:03:12.172+03",0.00925925925925926,0
"2018-05-11T10:06:47.797+01",0.00925925925925926,0
"2018-05-11T10:20:38.915+01",0,0.00757575757575758
"2018-05-11T10:37:38.586+01",0.00925925925925926,0
"2018-05-11T10:39:03.610+01",0,0.00757575757575758
"2018-05-11T10:46:28.504+01",0,0.00757575757575758
"2018-05-11T11:12:10.291+01",0.00925925925925926,0
"2018-05-11T11:18:09.194+03",0,0.00757575757575758
"2018-05-11T11:26:51.646+03",0.00925925925925926,0
"2018-05-11T11:33:20.132+01",0,0.00757575757575758
"2018-05-11T11:35:23.948+01",0.00925925925925926,0
"2018-05-11T11:53:19.256+01",0,0.00757575757575758
"2018-05-11T11:57:19.260+03",0.00925925925925926,0
"2018-05-11T12:02:21.590+01",0.00925925925925926,0
"2018-05-11T12:25:02.902+01",0,0.00757575757575758
"2018-05-11T12:26:56.800+01",0,0.00757575757575758
"2018-05-11T12:53:25.582+01",0,0.00757575757575758
"2018-05-11T12:57:59.080+01",0,0.00757575757575758
"2018-05-11T13:20:28.364+03",0,0.00757575757575758
"2018-05-11T13:28:07.812+03",0.00925925925925926,0
"2018-05-11T13:37:07.692+01",0.00925925925925926,0
"2018-05-11T14:05:14.165+01",0,0.00757575757575758
"2018-05-11T14:09:20.895+01",0.00925925925925926,0
"2018-05-11T14:10:45.992+01",0.00925925925925926,0
"2018-05-11T14:36:44.235+01",0.00925925925925926,0
"2018-05-11T14:52:36.516+03",0,0.00757575757575758
