"","female","male"
"kabonyi",0.0185185185185185,0.0303030303030303
"kankoba",0.0185185185185185,0.0303030303030303
"karungu",0,0.0227272727272727
"kiburasaho",0.0185185185185185,0
"kirongoro",0.0462962962962963,0.0606060606060606
"kiryampungura",0.037037037037037,0.0151515151515152
"kiryandongo",0.00925925925925926,0
"nanda",0.00925925925925926,0.0378787878787879
"other",0.842592592592593,0.803030303030303
