"","female","male"
"0",0.0277777777777778,0
"1",0.12037037037037,0.106060606060606
"2",0.157407407407407,0.189393939393939
"3",0.157407407407407,0.136363636363636
"4",0.222222222222222,0.227272727272727
"5",0.138888888888889,0.0984848484848485
"6",0.0648148148148148,0.0681818181818182
"7",0.00925925925925926,0.0681818181818182
"8",0.0462962962962963,0.0454545454545455
"9",0.0277777777777778,0.0151515151515152
"10",0.0185185185185185,0.0151515151515152
"11",0,0.0151515151515152
"12",0,0.00757575757575758
"15",0.00925925925925926,0
"17",0,0.00757575757575758
