@_uuid,correct_index,strata,area_urban_rural,area_km,area_km_2,weight,adm1Pcode,adm1NameLa,FCS_4pt,FSI,num_children,has_children,edu_pin_bin,edu_pin_bin_population,health_pin_bin,food_pin_bin,shelter_pin_bin?,wash_pin_bin,pin_number_sectors,overlap_edu_health,overlap_edu_food,overlap_edu_shelter,overlap_edu_wash,overlap_health_food,overlap_health_shelter,overlap_health_wash,overlap_food_shelter,overlap_food_wash,overlap_shelter_wash
408d2df9-aa22-4164-bdd5-018a11531ae2,1552,5KM_Rural,rural,5km,20km,0.114767409004604,UKR14,Donetska,1,1,0,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
347d1e51-917e-4027-b114-10a39153720a,1553,5KM_Rural,rural,5km,20km,0.114767409004604,UKR14,Donetska,1,2,1,1,1,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0
7454ebfd-1893-4973-b847-2f2402496dee,1554,5KM_Rural,rural,5km,20km,0.114767409004604,UKR14,Donetska,3,2,0,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
c8bc4739-707a-44fa-ad44-db63a1ef5c36,1555,5KM_Rural,rural,5km,20km,0.114767409004604,UKR14,Donetska,3,3,0,0,,0,1,1,1,0,3,0,0,0,0,1,1,0,1,0,0
c48fca1a-3e82-4ed7-9a37-1ed717004219,1556,5KM_Rural,rural,5km,20km,0.114767409004604,UKR14,Donetska,1,1,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9e548bf8-31ff-4e13-af91-f4e08e95193b,1557,5KM_Rural,rural,5km,20km,0.114767409004604,UKR14,Donetska,1,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c3853e3a-daab-48c8-a778-39f84377e46a,1558,5KM_Rural,rural,5km,20km,0.114767409004604,UKR14,Donetska,1,2,0,0,,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0
681dc28f-1a17-4d88-9411-7f289d28f672,1559,5KM_Rural,rural,5km,20km,0.114767409004604,UKR14,Donetska,1,2,0,0,,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0
7a3ac9ee-34ab-436b-863c-719ac97dbffd,1560,5KM_Rural,rural,5km,20km,0.114767409004604,UKR14,Donetska,1,1,0,0,,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0
35589e79-574a-4515-9ce1-ecc101cd5a65,1561,20KM_Rural,rural,5-20km,20km,0.379293064639472,UKR44,Luhanska,1,1,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5375ea1f-7f21-4447-abe8-d712522b114d,1562,20KM_Rural,rural,5-20km,20km,0.379293064639472,UKR44,Luhanska,1,2,1,1,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0
bb094f23-fc30-4c7f-ac18-fd1a74c6531e,1563,NOT_20KM_Rural,rural,over_20km,over_20km,2.541383887236210,UKR44,Luhanska,1,1,2,1,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0
06b94f86-5dae-443b-a28f-c9295399a3b8,1564,"20KM_Urban_<100,000",small_urban,5-20km,20km,0.213736766178176,UKR44,Luhanska,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
