"","x"
"1","after_defecating before_eating after_eating"
"2","dirty_hands before_cooking after_defecating before_eating after_eating"
"3","after_defecating before_eating after_eating"
"4","dirty_hands after_defecating before_eating after_eating"
"5","after_defecating before_eating after_eating"
"6","after_defecating before_eating after_eating"
