"","x"
"education_pin&food_pin&livelihood_pin&nfi_pin&wash_pin",0.00994496693583448
"health_pin&protection_pin&food_pin&livelihood_pin&nfi_pin",0.00026960690970416
"health_pin&protection_pin&food_pin&livelihood_pin&wash_pin",0.000262374170330192
"health_pin&protection_pin&food_pin&nfi_pin&wash_pin",0.000899570075132794
"health_pin&protection_pin&livelihood_pin&nfi_pin&wash_pin",0.00038040632139048
"health_pin&food_pin&livelihood_pin&nfi_pin&wash_pin",0.0105102136472028
"protection_pin&food_pin&livelihood_pin&nfi_pin&wash_pin",0.00176738695883555
"education_pin&health_pin&protection_pin&food_pin&livelihood_pin&nfi_pin",6.58186057977652e-05
"education_pin&health_pin&protection_pin&food_pin&livelihood_pin&wash_pin",5.85858664237971e-05
"education_pin&health_pin&protection_pin&food_pin&nfi_pin&wash_pin",0.000557735513957703
"education_pin&health_pin&protection_pin&livelihood_pin&nfi_pin&wash_pin",0.000137273967130656
"education_pin&health_pin&food_pin&livelihood_pin&nfi_pin&wash_pin",0.00569561839533867
"education_pin&protection_pin&food_pin&livelihood_pin&nfi_pin&wash_pin",0.000506779712477266
"health_pin&protection_pin&food_pin&livelihood_pin&nfi_pin&wash_pin",0.000262374170330192
"education_pin&health_pin&protection_pin&food_pin&livelihood_pin&nfi_pin&wash_pin",5.85858664237971e-05
