a4Pcode,strata,samples,population,strata_sample,strata_population,cluster_weight,strata_weight,final_weight,final_weight_normalized
UKR1411246500,"5KM_Urban_<100,000",12,10627,478,228401,1.853358056,0.456645827,0.846328222,20.30461817
UKR1420955400,"5KM_Urban_<100,000",8,482,478,228401,0.12609183,0.456645827,0.057579308,1.381409517
UKR1421556800,"5KM_Urban_<100,000",8,6816,478,228401,1.783074505,0.456645827,0.814233531,19.53462089
UKR1425555200,"5KM_Urban_<100,000",8,2895,478,228401,0.757335782,0.456645827,0.345834224,8.297055086
UKR4423110100,"5KM_Urban_<100,000",8,9000,478,228401,2.354411758,0.456645827,1.075132304,25.79395363
UKR4423856900,"5KM_Urban_<100,000",8,2143,478,228401,0.5606116,0.456645827,0.256000947,6.14182696
UKR4423857700,"5KM_Urban_<100,000",8,3000,478,228401,0.784803919,0.456645827,0.358377435,8.597984545
UKR4423857900,"5KM_Urban_<100,000",7,830,478,228401,0.248147525,0.456645827,0.113315532,2.718600827
UKR1412365800,"5KM_Urban_<100,000",4,4800,478,228401,2.511372542,0.456645827,1.146807791,27.51355054
UKR4424855400,"5KM_Urban_<100,000",4,5300,478,228401,2.772973849,0.456645827,1.266266936,30.37954539
UKR1424284701,NOT_20KM_Rural,8,1587,246,436619,0.111768498,1.696199427,0.189581663,4.548333824
UKR4420983403,NOT_20KM_Rural,8,319,246,436619,0.022466384,1.696199427,0.038107467,0.914252357
UKR4424086501,NOT_20KM_Rural,8,615,246,436619,0.043312934,1.696199427,0.073467374,1.762586832
UKR1420385501,NOT_20KM_Rural,4,893,246,436619,0.125783578,1.696199427,0.213354033,5.118666799
UKR1420386601,NOT_20KM_Rural,4,286,246,436619,0.04028455,1.696199427,0.068330631,1.639349053
UKR1420981501,NOT_20KM_Rural,4,960,246,436619,0.135220868,1.696199427,0.229361558,5.502710109
UKR1420986509,NOT_20KM_Rural,4,318,246,436619,0.044791912,1.696199427,0.075976016,1.822772723
UKR1420988001,NOT_20KM_Rural,4,740,246,436619,0.104232752,1.696199427,0.176799534,4.241672375
UKR1420989201,NOT_20KM_Rural,4,1100,246,436619,0.154940577,1.696199427,0.262810119,6.305188666
UKR1421255102,NOT_20KM_Rural,4,729,246,436619,0.102683346,1.696199427,0.174171433,4.178620489
UKR1421280801,NOT_20KM_Rural,4,1695,246,436619,0.238749344,1.696199427,0.404966501,9.715722535
UKR1421283602,NOT_20KM_Rural,4,211,246,436619,0.02972042,1.696199427,0.050411759,1.209449826
UKR1421284003,NOT_20KM_Rural,4,551,246,436619,0.077611144,1.696199427,0.131643978,3.158326323
