"","settlement","yes_no_host"
"2536","NB-3811-P12-001","yes"
"2557","NC-3810-L13-016","yes"
"2573","NC-3811-M12-001","yes"
"2610","NC-3811-M12-003","yes"
"2613","NC-3811-M12-003","no"
"2649","NC-3811-M12-002","yes"
"2673","NC-3811-M12-001","no"
"2677","NC-3909-M24-007","yes"
"2678","NB-3901-U19-002","yes"
"2703","NA-3807-Y05-001","yes"
"2706","NA-3807-Y05-001","no"
"2708","NA-3807-X04-004","yes"
"2711","NA-3810-M23-001","yes"
"2712","NA-3810-H28-003","no"
"2736","NC-3810-L13-022","yes"
"2750","NA-3810-G23-002","yes"
"2753","NA-3810-G23-002","no"
"2768","NA-3810-F22-010","no"
"2770","NA-3810-E22-002","no"
"2796","NC-3905-X23-001","yes"
"2806","NA-3810-F23-016","no"
"2809","NC-3905-Z23-001","yes"
"2855","NA-3806-K31-002","yes"
"2858","NA-3806-L31-001","yes"
"2867","NA-3806-Q30-011","yes"
"2896","NB-3815-G05-001","no"
"2922","NC-3815-B28-001","yes"
"2924","NC-3815-B33-002","yes"
"2932","NA-3810-G28-007","yes"
"2934","NA-3810-G29-001","yes"
"2935","NA-3810-G29-004","yes"
"2940","NA-3810-F23-021","yes"
"2965","NA-3807-Y05-002","yes"
"2976","NC-3815-B32-001","no"
"2990","NC-3810-K03-001","yes"
"3010","NC-3805-W27-001","no"
"3013","NC-3805-X27-002","no"
"3014","NC-3810-L13-022","no"
"3022","NA-3807-X04-002","no"
"3023","NA-3810-F24-005","no"
"3046","NC-3810-H03-006","no"
"3052","NC-3809-H33-001","no"
"3059","NC-3809-B27-002","no"
"3078","NB-3814-C17-001","no"
"3099","NC-3809-J31-001","yes"
"3102","NB-3901-U19-002","no"
"3116","NC-3810-S10-001","no"
"3122","NC-3909-G19-001","yes"
"3123","NC-3905-A17-001","no"
"3174","NC-3909-M24-001","yes"
"3176","NC-3810-L13-017","yes"
"3177","NC-3810-L13-017","no"
"3180","NB-3811-V12-002","no"
"3190","NB-3811-Y16-001","yes"
"3233","NC-3909-M24-006","yes"
"3239","NB-3902-A07-002","yes"
"3267","NA-3807-X04-002","yes"
"3274","NC-3905-Z23-001","no"
"3399","NA-3806-J32-002","yes"
"3401","NA-3810-E22-002","yes"
"3403","NC-3901-T27-002","yes"
"3457","NC-3811-G09-001","yes"
"3458","NC-3811-E13-001","yes"
"3459","NA-3810-G29-002","yes"
"3463","NC-3810-F27-001","yes"
"3464","NC-3810-F27-001","no"
"3465","NC-3810-J27-001","yes"
"3472","NC-3812-Z07-001","yes"
