"","divorced","married","no_answer","single","widowed"
"0",1,0.702290076335878,1,1,0.7
"1",0,0.16030534351145,0,0,0.1
"2",0,0.106870229007634,0,0,0.1
"4",0,0.00763358778625954,0,0,0
"5",0,0,0,0,0.1
"10",0,0.00763358778625954,0,0,0
"12",0,0.00763358778625954,0,0,0
"15",0,0.00763358778625954,0,0,0
