"","divorced","married","no_answer","single","widowed"
"",0.166666666666667,0.005,0,0,0.04
"no",0.166666666666667,0.195,0,0,0.32
"yes_saw_card",0.166666666666667,0.305,0,0,0.08
"yes_without_card",0.5,0.495,1,1,0.56
