"","divorced","married","no_answer","single","widowed"
"175.8",0,0.005,0,0,0
"932.3",0.0833333333333333,0,0,0,0
"1005.6",0,0.005,0,0,0
"1017.9",0,0.005,0,0,0
"1021",0,0.005,0,0,0
"1022.5",0,0.005,0,0,0
"1027.2",0,0.01,0,0,0
"1027.7",0,0.005,0,0,0
"1029",0,0.005,0,0,0
"1030.9",0,0.005,0,0,0
"1032.2",0,0.005,0,0,0
"1033",0,0.005,0,0,0
"1033.8",0,0.005,0,0,0
"1034.2",0,0.005,0,0,0
"1035.9",0,0.005,0,0,0
"1036.3",0,0.005,0,0,0
"1036.4",0,0,0,0,0.04
"1036.5",0.0833333333333333,0,0,0,0
"1036.9",0,0.01,0,0,0
"1037.2",0,0.005,0,0,0
"1037.9",0,0.005,0,0,0
"1038.6",0,0.005,0,0,0
"1038.7",0,0.005,0,0,0
"1038.8",0,0.005,0,0,0
"1039.1",0,0.005,0,0,0
"1039.3",0,0.005,0,0,0
"1039.4",0,0,0,0,0.04
"1039.7",0,0.005,0,0,0
"1040",0,0.005,0,0,0
"1040.5",0,0.005,0,0,0
"1040.8",0,0.005,0,0,0
"1041.1",0,0.005,0,0,0
"1041.3",0,0.005,0,0,0
"1041.7",0,0,0,0.5,0
"1041.8",0,0.005,0,0,0
"1041.9",0,0.005,0,0,0
"1042",0,0,1,0,0
"1043",0,0.01,0,0,0
"1043.3",0,0.005,0,0,0
"1043.7",0,0.005,0,0,0
"1043.8",0,0.005,0,0,0
"1044.2",0,0,0,0,0.04
"1044.3",0,0.005,0,0,0
"1044.6",0,0.005,0,0,0
"1045.1",0,0,0,0,0.04
"1045.9",0,0.005,0,0,0
"1046.2",0,0.005,0,0,0
"1046.3",0,0.005,0,0,0
"1046.5",0,0.005,0,0,0
"1047",0.0833333333333333,0,0,0,0
"1047.2",0,0.005,0,0,0
"1047.4",0,0.005,0,0,0
"1047.6",0,0.005,0,0,0
"1047.8",0,0.005,0,0,0
"1048.5",0,0.005,0,0,0
"1048.7",0,0.005,0,0,0
"1049.4",0,0.005,0,0,0
"1049.6",0,0,0,0.5,0
"1049.7",0,0.005,0,0,0
"1049.9",0,0.005,0,0,0
"1050.4",0,0.005,0,0,0
"1051.1",0,0.005,0,0,0
"1051.3",0,0,0,0,0.04
"1051.4",0,0.005,0,0,0
"1052.2",0,0.005,0,0,0
"1052.9",0,0.005,0,0,0
"1053.6",0,0.005,0,0,0
"1053.7",0,0.005,0,0,0
"1054.4",0,0,0,0,0.04
"1055",0,0.005,0,0,0
"1055.3",0,0.005,0,0,0
"1056.2",0,0,0,0,0.04
"1056.7",0,0.02,0,0,0
"1057.2",0,0.01,0,0,0
"1057.8",0,0,0,0,0.04
"1058.1",0,0.005,0,0,0
"1059",0,0.005,0,0,0
"1059.8",0,0.005,0,0,0
"1060.1",0,0.005,0,0,0
"1061",0,0,0,0,0.04
"1061.6",0,0.005,0,0,0
"1062",0,0,0,0,0.04
"1063",0,0.005,0,0,0
"1063.1",0,0.005,0,0,0
"1063.2",0,0.015,0,0,0
"1063.3",0,0.01,0,0,0
"1064.6",0,0.005,0,0,0
"1065",0,0.005,0,0,0
"1066.1",0,0.005,0,0,0
"1066.5",0,0.005,0,0,0
"1066.9",0.0833333333333333,0,0,0,0
"1067.8",0,0.005,0,0,0
"1068.1",0,0.005,0,0,0
"1068.6",0,0.005,0,0,0
"1069.1",0,0,0,0,0.04
"1069.3",0.0833333333333333,0,0,0,0
"1069.5",0,0.005,0,0,0
"1070",0,0.01,0,0,0
"1070.1",0,0.005,0,0,0
"1070.6",0,0.005,0,0,0
"1070.7",0,0.005,0,0,0
"1070.9",0,0.005,0,0,0
"1071.4",0,0.005,0,0,0
"1071.5",0,0.01,0,0,0
"1071.7",0,0.005,0,0,0
"1073.3",0,0.005,0,0,0
"1073.7",0,0.005,0,0,0
"1073.8",0,0.005,0,0,0
"1074.3",0.0833333333333333,0.005,0,0,0
"1074.6",0,0.005,0,0,0
"1074.8",0,0.005,0,0,0
"1075.3",0,0.005,0,0,0
"1075.6",0,0.005,0,0,0
"1076.6",0.0833333333333333,0,0,0,0
"1077",0,0.01,0,0,0
"1077.1",0,0.005,0,0,0
"1077.3",0,0.005,0,0,0
"1077.4",0,0.005,0,0,0
"1077.9",0,0.01,0,0,0
"1078.2",0,0,0,0,0.04
"1078.5",0,0.005,0,0,0
"1079.1",0,0.005,0,0,0
"1079.2",0,0.005,0,0,0
"1079.3",0,0,0,0,0.04
"1079.8",0,0.01,0,0,0
"1080.1",0,0.005,0,0,0
"1080.3",0,0.005,0,0,0
"1080.8",0,0.01,0,0,0
"1081.2",0,0.005,0,0,0
"1081.5",0.0833333333333333,0.005,0,0,0
"1082.4",0,0.005,0,0,0
"1082.5",0,0.005,0,0,0
"1083.1",0,0.005,0,0,0
"1083.2",0,0.005,0,0,0
"1083.6",0,0.005,0,0,0
"1084.1",0,0.005,0,0,0
"1084.7",0,0.01,0,0,0
"1085.4",0,0.005,0,0,0
"1086",0,0.005,0,0,0
"1086.2",0,0.005,0,0,0
"1086.3",0,0.005,0,0,0
"1086.5",0,0,0,0,0.04
"1087.1",0.0833333333333333,0,0,0,0
"1088",0,0.005,0,0,0
"1088.2",0,0.005,0,0,0
"1088.3",0,0.005,0,0,0
"1088.7",0,0,0,0,0.04
"1088.8",0,0.015,0,0,0.04
"1089",0.0833333333333333,0,0,0,0
"1089.1",0,0.005,0,0,0
"1089.4",0,0.005,0,0,0
"1089.6",0,0.005,0,0,0
"1089.8",0,0.005,0,0,0
"1091.2",0,0.005,0,0,0
"1091.7",0,0.005,0,0,0
"1092",0,0,0,0,0.04
"1092.8",0,0.005,0,0,0.04
"1092.9",0,0.005,0,0,0
"1093.1",0,0.005,0,0,0
"1093.3",0,0.005,0,0,0
"1094",0,0.005,0,0,0
"1094.3",0,0.005,0,0,0
"1094.4",0,0.01,0,0,0
"1094.7",0,0.005,0,0,0
"1094.9",0,0.005,0,0,0
"1095",0,0.005,0,0,0
"1095.2",0,0.005,0,0,0
"1095.9",0.0833333333333333,0.005,0,0,0
"1096.1",0,0,0,0,0.08
"1096.2",0,0.01,0,0,0
"1097.2",0,0.005,0,0,0
"1098",0,0,0,0,0.04
"1098.8",0,0.005,0,0,0
"1099.2",0,0.005,0,0,0
"1099.6",0,0.005,0,0,0
"1100.2",0,0.005,0,0,0
"1100.3",0,0.005,0,0,0
"1100.5",0,0.005,0,0,0
"1101",0,0.005,0,0,0
"1101.3",0,0.005,0,0,0
"1101.6",0,0.01,0,0,0
"1102.5",0,0.005,0,0,0
"1102.6",0.0833333333333333,0,0,0,0
"1102.7",0,0.005,0,0,0
"1103.5",0,0.005,0,0,0
"1103.7",0,0.005,0,0,0
"1103.9",0,0.01,0,0,0
"1104.2",0,0.005,0,0,0
"1105.6",0,0.015,0,0,0.04
"1106",0,0.005,0,0,0
"1106.3",0,0.005,0,0,0
"1106.7",0,0.005,0,0,0
"1107.3",0,0.005,0,0,0
"1108",0,0.005,0,0,0
"1108.6",0,0.01,0,0,0
"1108.9",0,0.005,0,0,0.04
"1109.9",0,0.005,0,0,0
