"","divorced","married","no_answer","single","widowed"
"kabonyi",0,0.025,0,0,0.04
"kankoba",0,0.025,0,0,0.04
"karungu",0,0.01,0,0,0.04
"kiburasaho",0.0833333333333333,0,0,0,0.04
"kirongoro",0.166666666666667,0.05,0,0,0.04
"kiryampungura",0,0.015,0,0.5,0.08
"kiryandongo",0,0.005,0,0,0
"nanda",0.0833333333333333,0.015,0,0,0.08
"other",0.666666666666667,0.855,1,0.5,0.64
