"","divorced","married","no_answer","single","widowed"
"",1,0.98,1,1,1
"Given to by  a friend ",0,0.005,0,0,0
"Given to him by his dad",0,0.005,0,0,0
"Renting. ",0,0.005,0,0,0
"Uses the grandparents land for cultivation ",0,0.005,0,0,0
