"","divorced","married","no_answer","single","widowed"
"5f0c755c-8b17-4043-8eca-6d878dff66a5",0,0.005,0,0,0
"5f6b2064-2c39-4adc-b4ce-e2cdc6ab5798",0,0.005,0,0,0
"6120246f-84a7-414d-af46-4f664729c78a",0,0,0,0,0.04
"618490df-aae1-4581-9efd-038d18434b7e",0,0.005,0,0,0
"63aee50c-3285-4226-9226-f9e67825b5e8",0,0.005,0,0,0
"67a9b45f-9d2d-4569-8588-c7b8e7560780",0,0.005,0,0,0
"6ec06f0c-90a9-46e2-a33a-ba6102ed978c",0,0.005,0,0,0
"703e2718-64aa-4c09-a227-9b4f471975a9",0,0.005,0,0,0
"7141e249-8b17-4598-b1b0-365ba3d7b13d",0,0.005,0,0,0
"730e9e62-0e63-41be-acff-832ce209ef0c",0,0.005,0,0,0
"73a65528-bf40-441a-afc0-badcc2649a5a",0,0.005,0,0,0
"751a32cb-a91a-41b4-9995-76d6255a527f",0,0.005,0,0,0
"774fd878-af52-43df-b5a7-dd1859ee9c3a",0,0.005,0,0,0
"793e5125-5e2d-43d8-a495-ea68d99b5c84",0,0.005,0,0,0
"7a410f4f-43a1-43c2-8cec-5ce387df2cd2",0,0.005,0,0,0
"7b40f72e-3dfe-4317-a51f-06f844f6b2cb",0,0.005,0,0,0
"7bab3a00-b97f-4896-a549-11f720511f3e",0,0.005,0,0,0
"7bf47d4d-16b1-40aa-a332-bc0d7ed5c1e7",0,0,0,0,0.04
"7e0a173a-c4d5-41ab-a376-8b3bbc408764",0,0.005,0,0,0
"7f98a281-6b94-4acd-840b-702a74268b1f",0,0.005,0,0,0
"800df4da-bb56-4ce7-be5b-1afd8baedf42",0,0.005,0,0,0
"803f11bc-3ab9-496b-b51d-9c0d2698d3ef",0,0.005,0,0,0
"81684652-77f7-463d-b902-66f6da9b1957",0,0.005,0,0,0
"8505b482-8ba2-44cc-b464-f953bec7225c",0,0.005,0,0,0
"85c0bb14-35fa-4bf1-9de4-766dc325e7df",0,0.005,0,0,0
"8775bb11-22ef-4328-909c-422d8b626cb4",0,0.005,0,0,0
"8b8ee309-a649-494d-916b-93fd29f6fcff",0,0.005,0,0,0
"8c34faf8-5248-4ffc-8da6-8e8096429362",0,0.005,0,0,0
"8df1c00d-1b9c-4d99-aa62-b536de3419a2",0,0.005,0,0,0
"8ec47f84-e541-4c1b-b0c1-d8e0001b2574",0,0,0,0,0.04
"91313ecc-1ce3-4e73-94a3-8d6e2b1c576a",0,0.005,0,0,0
"925900b9-54ea-4a45-8a25-38743b1e5ab5",0,0.005,0,0,0
"92875455-c318-4a85-9535-e249006cab56",0,0.005,0,0,0
"938082fa-6d9d-45bd-a494-a3e1ac1805c4",0,0.005,0,0,0
"9630c273-3624-4f07-aec4-853e505024b6",0,0.005,0,0,0
"968287b2-630c-49c2-a023-5f9ab5cb4908",0,0.005,0,0,0
"97d494dc-f4d8-4863-8267-7626f0c68b80",0,0.005,0,0,0
"98cfab72-91ce-42de-abc6-6bb84a891f6b",0,0.005,0,0,0
"995c140a-5af7-4552-934f-7cb9d4d52c63",0,0.005,0,0,0
"9ab13de0-568f-456b-8efc-6ae16e0da2a7",0,0.005,0,0,0
"9ae9cd03-62e3-42cc-abc5-38e34221270c",0,0.005,0,0,0
"9f85a99c-df64-487e-8db2-27057e47d2b6",0,0.005,0,0,0
"9fa7de48-fc00-4b6f-be8d-694595194049",0,0.005,0,0,0
"a03bfa9a-9d93-46fb-9ac9-15f4524a2bcd",0,0.005,0,0,0
"a2a8281d-1701-4ffd-aac5-03b8f197accf",0,0.005,0,0,0
"a3847aa4-8ad3-4c3f-bb8b-c2f930a67b87",0,0,0,0,0.04
"a5249aaa-f6a9-449e-bf1c-695fd686a4a3",0.0833333333333333,0,0,0,0
"a5db8317-f4b5-49c1-9585-7c80e2e77c16",0,0.005,0,0,0
"a65c6ce0-bd22-44d3-8144-73315610adf1",0,0.005,0,0,0
"a797480a-e114-420f-8ff4-55c40dd21f82",0,0.005,0,0,0
"ada465ff-1bbe-4580-8fed-dcb2c5629665",0,0.005,0,0,0
"aed05a5e-a2a5-4d4e-81d7-a7f419e4173a",0,0.005,0,0,0
"aeeb834b-b44e-4785-940c-2bb9c59f6dd8",0,0.005,0,0,0
"b1969996-2d92-4a74-a8f6-3958b65166d2",0,0.005,0,0,0
"b1c19985-2cde-4213-be4c-5b0f025dceb7",0,0.005,0,0,0
"b55c1737-e16d-4542-9348-b2d7488151f3",0,0,1,0,0
"b7e3b5ca-433e-4c45-9f57-7f947826eb32",0,0.005,0,0,0
"b93af6ff-fcbd-4209-9781-e28cef963283",0,0.005,0,0,0
"bb536a51-f829-4574-bdee-679e18516e69",0,0.005,0,0,0
"bdae1a8c-449c-4155-b58f-50e92a705aad",0,0.005,0,0,0
"bdc748a9-48ca-4680-a2b4-6b44d207d79b",0,0.005,0,0,0
"be044ee7-be8a-45e2-a3b8-7825d1f4d4b1",0,0.005,0,0,0
"bf83e45a-a9d9-491f-be57-1bbf018bf402",0,0.005,0,0,0
"c0b68fd8-aae9-469f-8b33-1a9513a4d37d",0,0.005,0,0,0
"c30dea47-3e67-4fe1-bead-51232fed5ebd",0,0,0,0,0.04
"c52efd03-8986-4099-9d2e-f10b47d09aea",0,0.005,0,0,0
"c780388a-647b-4e67-830c-a94e4d8e91ab",0,0.005,0,0,0
"c86c06cd-36e5-45d0-a048-0b986177b182",0,0.005,0,0,0
"c90175b8-13fa-4801-aec9-266e63c3bac5",0,0.005,0,0,0
"ca0e0fa6-c103-47ac-a035-d71c62eb3f68",0,0.005,0,0,0
"d184aefa-0e89-4afe-bc54-9937e8235e30",0,0.005,0,0,0
"d21115c9-84f0-453b-8565-0ae802da91e1",0,0.005,0,0,0
"d26ab567-e08e-4c90-a73d-a974283a0b0f",0,0.005,0,0,0
"d400de54-f97b-42d3-b3d8-de3292287137",0,0,0,0,0.04
"d4dbe896-86a1-4e5f-86c8-e59c50046b78",0.0833333333333333,0,0,0,0
"d81832f8-1de8-4d3f-a59b-1cd3208323fd",0,0.005,0,0,0
"da554ce4-5fd6-46a4-add2-214864538837",0,0.005,0,0,0
"db6d3daf-edf4-480b-b179-5f4d41700e6e",0,0.005,0,0,0
"dc05b25f-9729-439d-9ea4-8a294cd33e1d",0,0.005,0,0,0
"dc7d7deb-152d-4391-af70-108d7075cecd",0,0.005,0,0,0
"dc9557dc-9cb3-488e-96e0-e73f6115be9d",0,0.005,0,0,0
"de4664fb-cc0a-46c4-9d61-a86e8f97ea42",0,0,0,0,0.04
"de82c69d-c6c0-49b9-bbca-4ef3f94946e1",0.0833333333333333,0,0,0,0
"e2c99a51-12b6-4d69-8798-bdb6de6d74ea",0,0.005,0,0,0
"e3691f84-150e-4853-afeb-af2d16d10fc7",0,0.005,0,0,0
"e404bebc-62ab-41e0-85e3-49e3bcfc8411",0,0.005,0,0,0
"e54f48ee-3045-43c1-b8f2-ba73ed64112b",0,0.005,0,0,0
"e832ba57-3065-4718-9b3a-cc696dd2466e",0,0.005,0,0,0
"e994e82e-48f9-4b5a-a7a9-0ed1e52100a8",0,0.005,0,0,0
"ee33ab86-0c3a-466f-af74-06ea54aa2b75",0,0,0,0,0.04
"eecb4d92-a370-4ee1-a01c-7d0dd5f96909",0,0,0,0,0.04
"f15ff84f-c482-4863-965b-8f4a8ad79741",0,0.005,0,0,0
"f2daeeb8-3ee5-4ac4-999d-9f7e7209eb4a",0,0.005,0,0,0
"f42f7c5b-9409-40a2-bb3e-bd15c59bb2ed",0,0,0,0,0.04
"f4bb5d6e-4878-489c-baca-9b4843109f1a",0,0.005,0,0,0
"f6c2b9ba-a83f-4f61-92f7-06af81e23f82",0,0.005,0,0,0
"f84c2197-0a3e-4b1c-b896-020296ad7816",0,0.005,0,0,0
"f8752125-fe95-4fcd-a2c4-b31aba94f74a",0,0.005,0,0,0
"f934bd99-331e-4233-aeb5-bfb6d1917d84",0,0.005,0,0,0
"fa795edd-4285-4215-a1cd-80d06a383ab7",0,0.005,0,0,0
"fc3844dd-55d0-45e9-aa98-be821deaba42",0,0.005,0,0,0
"fc6790ea-496f-4c74-b345-61eb944bdc03",0,0.005,0,0,0
"fcd4bbdb-7bfa-436a-bda5-ca7ce116f583",0,0,0,0,0.04
"fe7068dc-30ca-48d6-9f6e-b23d09a1080b",0,0.005,0,0,0
"fe8064fc-8e7b-43fb-b706-7aa9660aa5c6",0,0.005,0,0,0
