"","divorced","married","no_answer","single","widowed"
"0",0.181818181818182,0.276923076923077,0,0,0.2
"1",0.727272727272727,0.528205128205128,1,1,0.64
"2",0.0909090909090909,0.123076923076923,0,0,0.12
"3",0,0.0564102564102564,0,0,0.04
"4",0,0.00512820512820513,0,0,0
"6",0,0.00512820512820513,0,0,0
"16",0,0.00512820512820513,0,0,0
