"","divorced","married","no_answer","single","widowed"
"",1,0.975,0,1,0.92
"Ate food only when  it's there. ",0,0.005,0,0,0
"Bay food from market",0,0,1,0,0
"Depending on stored food",0,0.005,0,0,0
"Food is enough",0,0.005,0,0,0.04
"Go for lejaleja ",0,0.005,0,0,0
"Relying  on  subsistence  production.",0,0,0,0,0.04
"The food is enough",0,0.005,0,0,0
