"","divorced","married","no_answer","single","widowed"
"concrete_brick",0.25,0.26,1,0.5,0.24
"makeshift_shelter",0,0.02,0,0,0
"mud_brick",0.25,0.16,0,0,0.24
"other",0,0.005,0,0,0
"tukul",0.5,0.555,0,0.5,0.52
