"","divorced","married","no_answer","single","widowed"
"1",0,0.09,0,0,0.08
"2",0.333333333333333,0.18,0,0,0.08
"3",0.166666666666667,0.2,1,0,0.28
"4",0.25,0.21,0,0.5,0.16
"5",0,0.11,0,0,0.12
"6",0.0833333333333333,0.085,0,0.5,0.08
"7",0,0.03,0,0,0.08
"8",0.0833333333333333,0.055,0,0,0.08
"9",0,0.01,0,0,0
"10",0.0833333333333333,0.015,0,0,0
"11",0,0.005,0,0,0.04
"12",0,0.005,0,0,0
"20",0,0.005,0,0,0
