"","divorced","married","no_answer","single","widowed"
"",0.75,0.44,1,0.5,0.48
"no",0.0833333333333333,0.135,0,0,0.12
"no_answer",0,0.01,0,0,0.08
"yes",0.166666666666667,0.415,0,0.5,0.32
