"","divorced","married","no_answer","single","widowed"
"good",0.5,0.24,0,0,0.16
"no_answer",0.0833333333333333,0,0,0,0
"no_relations",0.166666666666667,0.255,0,0.5,0.4
"okay",0.166666666666667,0.355,0,0,0.4
"poor",0.0833333333333333,0.06,0,0.5,0
"very_good",0,0.065,1,0,0.04
"very_poor",0,0.025,0,0,0
