"","divorced","married","no_answer","single","widowed"
"",0.75,0.765,1,1,0.76
"cant_afford",0.0833333333333333,0.155,0,0,0.24
"other",0.0833333333333333,0.02,0,0,0
"soap_not_necessary",0,0.025,0,0,0
"use_substitute",0.0833333333333333,0.035,0,0,0
