"","divorced","married","no_answer","single","widowed"
"",0.5,0.55,1,0.5,0.44
"1_year",0,0.055,0,0,0
"3_months",0,0.02,0,0,0.04
"6_months",0,0.03,0,0,0
"more_than_1_year",0.0833333333333333,0.085,0,0.5,0.04
"never",0.416666666666667,0.255,0,0,0.44
"no_answer",0,0,0,0,0.04
"one_month",0,0.005,0,0,0
