"","divorced","married","no_answer","single","widowed"
"2559527",0,0.005,0,0,0
"2559549",0,0.005,0,0,0
"2559553",0,0,0,0,0.04
"2559555",0,0.005,0,0,0
"2559558",0,0.005,0,0,0
"2559561",0,0.005,0,0,0
"2559564",0,0.005,0,0,0
"2559572",0,0.005,0,0,0
"2559574",0.0833333333333333,0,0,0,0
"2559575",0,0.005,0,0,0
"2559577",0,0,0,0,0.04
"2559578",0,0.005,0,0,0
"2559579",0,0.005,0,0,0
"2559583",0,0.005,0,0,0
"2559584",0,0.005,0,0,0
"2559587",0.0833333333333333,0,0,0,0
"2559593",0,0.005,0,0,0
"2559597",0,0.005,0,0,0
"2559600",0,0.005,0,0,0
"2559602",0,0.005,0,0,0
"2559603",0,0.005,0,0,0
"2559604",0,0,0,0,0.04
"2559606",0,0.005,0,0,0
"2559607",0,0.005,0,0,0
"2559609",0,0,0,0,0.04
"2576573",0,0.005,0,0,0
"2576575",0,0.005,0,0,0
"2576577",0,0.005,0,0,0
"2576580",0,0.005,0,0,0
"2576582",0,0.005,0,0,0
"2576584",0,0.005,0,0,0
"2576586",0,0.005,0,0,0
"2576589",0,0.005,0,0,0
"2576591",0,0.005,0,0,0
"2576593",0,0.005,0,0,0
"2576595",0,0.005,0,0,0
"2576597",0,0.005,0,0,0
"2576599",0,0.005,0,0,0
"2576602",0,0.005,0,0,0
"2576608",0.0833333333333333,0,0,0,0
"2576610",0,0.005,0,0,0
"2576612",0,0.005,0,0,0
"2576613",0,0.005,0,0,0
"2576617",0,0.005,0,0,0
"2576618",0,0.005,0,0,0
"2576621",0,0.005,0,0,0
"2576622",0,0.005,0,0,0
"2576626",0,0.005,0,0,0
"2576636",0,0.005,0,0,0
"2576640",0,0.005,0,0,0
"2576644",0.0833333333333333,0,0,0,0
"2576677",0,0.005,0,0,0
"2576681",0,0.005,0,0,0
"2576684",0,0.005,0,0,0
"2588008",0,0,0,0,0.04
"2588011",0,0.005,0,0,0
"2588012",0,0.005,0,0,0
"2588016",0,0.005,0,0,0
"2588017",0,0.005,0,0,0
"2588019",0,0.005,0,0,0
"2588022",0,0.005,0,0,0
"2588023",0,0.005,0,0,0
"2588026",0,0.005,0,0,0
"2588029",0,0,0,0,0.04
"2588035",0,0.005,0,0,0
"2588038",0,0.005,0,0,0
"2588040",0,0,0,0,0.04
"2588060",0,0,0,0,0.04
"2588061",0,0.005,0,0,0
"2588066",0,0.005,0,0,0
"2588068",0,0.005,0,0,0
"2588071",0,0.005,0,0,0
"2588075",0,0.005,0,0,0
"2588080",0,0.005,0,0,0
"2588083",0,0.005,0,0,0
"2588086",0,0.005,0,0,0
"2588089",0,0.005,0,0,0
"2588090",0,0.005,0,0,0
"2588091",0,0.005,0,0,0
"2588096",0,0.005,0,0,0
"2588097",0,0.005,0,0,0
"2588101",0,0.005,0,0,0
"2588105",0,0.005,0,0,0
"2588109",0,0.005,0,0,0
"2588111",0,0.005,0,0,0
"2601206",0,0.005,0,0,0
"2601209",0,0.005,0,0,0
"2601213",0,0.005,0,0,0
"2601216",0,0.005,0,0,0
"2601218",0,0.005,0,0,0
"2601219",0,0.005,0,0,0
"2601221",0,0.005,0,0,0
"2601224",0,0.005,0,0,0
"2601227",0,0.005,0,0,0
"2601228",0,0.005,0,0,0
"2601231",0,0.005,0,0,0
"2601258",0,0.005,0,0,0
"2601294",0,0.005,0,0,0
"2601297",0,0.005,0,0,0
"2601308",0,0.005,0,0,0
"2601320",0,0,0,0.5,0
"2601334",0,0.005,0,0,0
"2601338",0,0.005,0,0,0
"2601342",0,0,0,0,0.04
"2601346",0,0.005,0,0,0
"2601358",0,0.005,0,0,0
"2601361",0,0,0,0,0.04
"2601365",0,0.005,0,0,0
"2601366",0,0.005,0,0,0
"2601367",0,0.005,0,0,0
"2601370",0,0,0,0,0.04
"2601372",0,0.005,0,0,0
"2601377",0,0.005,0,0,0
"2601379",0,0.005,0,0,0
"2601407",0,0.005,0,0,0
"2601434",0,0.005,0,0,0
"2601437",0,0.005,0,0,0
"2601440",0,0.005,0,0,0
"2601443",0,0.005,0,0,0
"2601448",0,0.005,0,0,0
"2601449",0,0.005,0,0,0
"2607511",0,0.005,0,0,0
"2607512",0,0.005,0,0,0
"2607513",0,0,0,0,0.04
"2607514",0,0.005,0,0,0
"2607515",0,0.005,0,0,0
"2607516",0,0.005,0,0,0
"2607518",0,0.005,0,0,0
"2607519",0,0.005,0,0,0
"2607520",0.0833333333333333,0,0,0,0
"2607523",0,0,0,0,0.04
"2607524",0,0.005,0,0,0
"2607526",0,0.005,0,0,0
"2607536",0,0.005,0,0,0
"2607538",0.0833333333333333,0,0,0,0
"2607539",0,0.005,0,0,0
"2607540",0,0.005,0,0,0
"2607947",0,0.005,0,0,0
"2607948",0,0.005,0,0,0
"2607949",0,0,0,0,0.04
"2607950",0,0,0,0,0.04
"2607952",0,0,0,0,0.04
"2607953",0,0.005,0,0,0
"2607954",0,0.005,0,0,0
"2607955",0,0.005,0,0,0
"2607956",0,0.005,0,0,0
"2607958",0,0.005,0,0,0
"2607960",0,0.005,0,0,0
"2607961",0,0.005,0,0,0
"2674041",0,0.005,0,0,0
"2674046",0,0.005,0,0,0
