"","divorced","married","no_answer","single","widowed"
"",0.25,0.12,0,0,0.12
"no",0.333333333333333,0.225,0,0.5,0.28
"no_answer",0,0.08,0,0,0.28
"yes",0.416666666666667,0.575,1,0.5,0.32
