"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"",0.25,0.843137254901961,0.333333333333333,0.701923076923077,0.789473684210526,0.711864406779661
"another_settlement",0,0,0.333333333333333,0,0,0
"home_country",0,0.0588235294117647,0,0.134615384615385,0,0.186440677966102
"no_answer",0,0,0,0,0,0.0169491525423729
"other_country_nonrefugee",0,0,0,0.00961538461538462,0,0
"uganda_elsewhere",0.75,0.0980392156862745,0.333333333333333,0.153846153846154,0.210526315789474,0.0847457627118644
