"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"1",0,0.0196078431372549,0,0,0,0
"2",0,0,0,0.00961538461538462,0,0
"3",0,0.0784313725490196,0.333333333333333,0.0673076923076923,0.0526315789473684,0.0338983050847458
"4",0,0.0392156862745098,0,0.115384615384615,0.210526315789474,0.101694915254237
"5",0,0.0588235294117647,0,0.0769230769230769,0.157894736842105,0.135593220338983
"6",0.25,0.117647058823529,0.333333333333333,0.105769230769231,0.157894736842105,0.11864406779661
"7",0.25,0.196078431372549,0,0.0865384615384615,0.0526315789473684,0.0847457627118644
"8",0,0.156862745098039,0,0.115384615384615,0.0526315789473684,0.0847457627118644
"9",0.25,0.0784313725490196,0,0.0673076923076923,0.105263157894737,0.0508474576271186
"10",0.25,0.0588235294117647,0.333333333333333,0.0865384615384615,0.105263157894737,0.101694915254237
"11",0,0.0588235294117647,0,0.0288461538461538,0.0526315789473684,0.0508474576271186
"12",0,0.0196078431372549,0,0.0576923076923077,0,0.0338983050847458
"13",0,0.0588235294117647,0,0.0192307692307692,0,0.0847457627118644
"14",0,0.0196078431372549,0,0.0288461538461538,0,0.0169491525423729
"15",0,0.0196078431372549,0,0.0192307692307692,0,0.0338983050847458
"16",0,0,0,0.0192307692307692,0,0.0169491525423729
"17",0,0,0,0.0192307692307692,0,0.0338983050847458
"18",0,0,0,0.0384615384615385,0,0
"19",0,0,0,0.00961538461538462,0,0.0169491525423729
"21",0,0.0196078431372549,0,0.00961538461538462,0,0
"24",0,0,0,0.00961538461538462,0,0
"26",0,0,0,0.00961538461538462,0,0
"38",0,0,0,0,0.0526315789473684,0
