"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"1",0.5,0.512820512820513,0.333333333333333,0.481927710843373,0.769230769230769,0.5
"2",0.5,0.333333333333333,0.333333333333333,0.36144578313253,0.230769230769231,0.416666666666667
"3",0,0.0512820512820513,0.333333333333333,0.0843373493975904,0,0.0555555555555556
"4",0,0.0256410256410256,0,0.0240963855421687,0,0.0277777777777778
"5",0,0.0256410256410256,0,0.0120481927710843,0,0
"6",0,0,0,0.0120481927710843,0,0
"8",0,0.0512820512820513,0,0,0,0
"10",0,0,0,0.0240963855421687,0,0
