"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"charcoal",0,0.0196078431372549,0,0,0,0.0169491525423729
"firewood",1,0.980392156862745,1,1,1,0.983050847457627
