"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"",0,0,0,0,0,0.0169491525423729
"clinic",0,0.313725490196078,0,0.355769230769231,0.0526315789473684,0.389830508474576
"district_hospital",0.25,0,0,0.153846153846154,0.736842105263158,0
"hc_ii",0.75,0.470588235294118,1,0.355769230769231,0,0.271186440677966
"hc_iii",0,0.196078431372549,0,0.0865384615384615,0.210526315789474,0.305084745762712
"national_referral_hospital",0,0,0,0.0192307692307692,0,0
"private_hospital",0,0.0196078431372549,0,0,0,0
"vht",0,0,0,0.0288461538461538,0,0.0169491525423729
