"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"borehole",0.75,0.882352941176471,1,0.701923076923077,0.842105263157895,0.915254237288136
"protected_spring",0,0,0,0.00961538461538462,0,0
"protected_well",0,0.0392156862745098,0,0.0480769230769231,0.0526315789473684,0.0169491525423729
"public_tap",0,0,0,0.00961538461538462,0,0.0508474576271186
"surface_water",0,0.0588235294117647,0,0.173076923076923,0.0526315789473684,0.0169491525423729
"unprotected_spring",0,0,0,0.00961538461538462,0,0
"unprotected_well",0.25,0.0196078431372549,0,0.0480769230769231,0.0526315789473684,0
