"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"",1,0.882352941176471,1,0.932692307692308,1,0.932203389830508
"After garden",0,0.117647058823529,0,0.0288461538461538,0,0
"After garden ",0,0,0,0.00961538461538462,0,0.0338983050847458
"Before and after milking ",0,0,0,0.00961538461538462,0,0
"Before and after milking cows",0,0,0,0.00961538461538462,0,0
"Before cooking",0,0,0,0.00961538461538462,0,0
"Garden",0,0,0,0,0,0.0169491525423729
"When washing my face. ",0,0,0,0,0,0.0169491525423729
