"","kiryandongo"
"kabonyi",0.025
"kankoba",0.025
"karungu",0.0125
"kiburasaho",0.00833333333333333
"kirongoro",0.0541666666666667
"kiryampungura",0.025
"kiryandongo",0.00416666666666667
"nanda",0.025
"other",0.820833333333333
