"","kiryandongo"
"0",0.540772532188841
"1",0.231759656652361
"2",0.141630901287554
"3",0.0472103004291846
"4",0.0214592274678112
"5",0.00858369098712446
"6",0.00429184549356223
"8",0.00429184549356223
