"","kiryandongo"
"",0.9625
"A young  baby can't use it yet.",0.00416666666666667
"It is under construction",0.00416666666666667
"Kids can't  properly squart ",0.00416666666666667
"Share with the neighborhood around ",0.00416666666666667
"Under construction",0.00833333333333333
"Young  male child can't use it",0.00416666666666667
"Young children can't manage to squart in the toilets",0.00416666666666667
"Young children can't squart",0.00416666666666667
