"","outside"
"uuid:015207ba-7ee5-4888-b6fa-f431dad4ce94",0.00520833333333333
"uuid:0788ea0e-a63c-4034-ba2d-b965bb5a825b",0.00520833333333333
"uuid:0e4297dd-ada7-4d7f-9569-2cefb2732234",0.00520833333333333
"uuid:1b1dff4b-1a18-478c-bcc7-79d8120fa5a0",0.00520833333333333
"uuid:34f733f4-adfc-4852-8eed-3cd51d7b4c14",0.00520833333333333
"uuid:37ff8851-308f-489a-8ad5-b4637d202f4c",0.00520833333333333
"uuid:3a12d61f-8641-426d-97dc-18f79477ede7",0.00520833333333333
"uuid:3d97a9b8-a611-4064-8cd3-688e44d276c3",0.00520833333333333
"uuid:3d99c5af-1d99-4dbc-89e0-08b8b1b64ff1",0.00520833333333333
"uuid:3f3a3dee-894f-407f-baff-7777a95e41c2",0.00520833333333333
"uuid:422ef230-f417-477f-b761-ea5d3b4f8b2b",0.00520833333333333
"uuid:4c2cc357-ac51-44d7-9498-a3d62e993e46",0.00520833333333333
"uuid:565e418a-b86f-4ca8-a5b0-321515ce4226",0.00520833333333333
"uuid:56ce1cdb-0ce2-4154-939b-b12915058376",0.00520833333333333
"uuid:59e8634c-f1d3-4002-af39-737b38f251a5",0.00520833333333333
"uuid:5a50d2fe-09b5-47fb-a2ab-d2e5fc43559f",0.00520833333333333
"uuid:5a5e4baa-652d-44a6-9dd5-d708ff46142b",0.00520833333333333
"uuid:5f55dfa0-86f7-4e0c-bcbb-995ea991ef32",0.00520833333333333
"uuid:7a0ba82c-bbc7-4678-ac11-0ec2334e9e98",0.00520833333333333
"uuid:7f361e2b-eba5-40ef-a6d7-9e0daa8a651c",0.00520833333333333
"uuid:82e1eca1-74fb-4350-9c00-e95b29211f72",0.00520833333333333
"uuid:8844419f-0a56-4085-b9d0-69920386d4be",0.00520833333333333
"uuid:8a242d3c-6681-4ec8-8026-5d2b2c126ddf",0.00520833333333333
"uuid:94392a81-d4d2-4061-a029-858ae7622abf",0.00520833333333333
"uuid:96c73b1b-44d8-4180-9f4b-291c0600c611",0.00520833333333333
"uuid:9a996e73-9184-4d4a-a677-4662530156fe",0.00520833333333333
"uuid:ab03942c-ecc6-4d05-8b9e-4a2a3284a842",0.00520833333333333
"uuid:ae6e2e29-7408-4840-9173-bf4d4839ac22",0.00520833333333333
"uuid:af5bf2e9-607d-4cbb-ab45-9299733e30d5",0.00520833333333333
"uuid:b5a7030f-fae7-4ee2-a54c-3785a904d2a2",0.416666666666667
"uuid:c2c97d3e-00ab-4c02-a4d9-bbea14f525ba",0.00520833333333333
"uuid:c87fcaa4-7184-4b9e-9a54-bab2255c1b25",0.00520833333333333
"uuid:cbe33973-3bdf-4899-bb40-2e57ef37cf17",0.00520833333333333
"uuid:ecbab3d2-833b-4ead-8d61-9bfe558723ee",0.416666666666667
