"","refugee"
"2074090",0.00520833333333333
"2074095",0.00520833333333333
"2074096",0.00520833333333333
"2074097",0.00520833333333333
"2074098",0.00520833333333333
"2074099",0.416666666666667
"2074100",0.00520833333333333
"2074101",0.00520833333333333
"2074102",0.00520833333333333
"2074103",0.00520833333333333
"2074104",0.00520833333333333
"2074105",0.00520833333333333
"2074106",0.00520833333333333
"2074107",0.416666666666667
"2074108",0.00520833333333333
"2074109",0.00520833333333333
"2074110",0.00520833333333333
"2074111",0.00520833333333333
"2074113",0.00520833333333333
"2074114",0.00520833333333333
"2074115",0.00520833333333333
"2074116",0.00520833333333333
"2074117",0.00520833333333333
"2074118",0.00520833333333333
"2074119",0.00520833333333333
"2074120",0.00520833333333333
"2074121",0.00520833333333333
"2074122",0.00520833333333333
"2074123",0.00520833333333333
"2074124",0.00520833333333333
"2074125",0.00520833333333333
"2074126",0.00520833333333333
"2074127",0.00520833333333333
"2074128",0.00520833333333333
