"","refugee"
"18",0.00520833333333333
"20",0.00520833333333333
"22",0.00520833333333333
"23",0.00520833333333333
"25",0.00520833333333333
"26",0.00520833333333333
"27",0.0104166666666667
"28",0.421875
"29",0.0104166666666667
"30",0.0104166666666667
"31",0.0104166666666667
"36",0.00520833333333333
"37",0.00520833333333333
"38",0.00520833333333333
"39",0.00520833333333333
"40",0.0104166666666667
"41",0.00520833333333333
"42",0.0104166666666667
"46",0.00520833333333333
"53",0.00520833333333333
"60",0.00520833333333333
"65",0.00520833333333333
"N/A",0.4375
